Country,Region,City,Population,Census_Year,Census_Date,Budget_USD,Actual_Spent_USD,Delay_Days,Census_Status,Supervisor,Households_Surveyed,Field_Workers,Data_Quality_Score
South Africa,Central,City_39,4791851,2022,03/03/2022,3516309.47,3529652.02,0,Delayed,John Doe,2412,4,75.37
Canada,West,City_464,4351697,2001,28/05/2001,315731.88,361003.72,,Cancelled,Jane Smith,5138,22,
Nigeria,North,City_2,4836591,2015,25/03/2015,3244153.06,3280877.56,0,,John Doe,8878,20,75.48
USA,North,City_318,1137326,2001,15/03/2001,365386.88,363062.51,0,,Ali Khan,2201,16,76.07
Germany,Central,City_500,3262102,2004,06/09/2004,2445427.07,2458946.31,0,In Progress,John Doe,7688,14,
Nigeria,East,City_16,4333773,2007,12/09/2007,547233.03,594075.88,,Delayed,Wei Zhang,5825,9,63.13
India,West,City_162,381472,2014,21/01/2014,1192050.5,1223093.98,,Cancelled,Wei Zhang,9233,44,
China,South,City_351,3818051,1998,22/04/1998,2733755.89,2774849.43,29,Delayed,Wei Zhang,4368,16,
Canada,North,City_41,1506134,2006,13/10/2006,555819.92,566925.24,,Completed,Ali Khan,1251,9,61.93
Canada,Central,City_496,1909382,2016,02/11/2016,2017906.99,2035647.84,,Delayed,,6478,28,84.06
UK,West,City_395,3956346,2012,01/11/2012,427639.11,434846.44,0,Completed,Ali Khan,6029,49,58.68
China,East,City_486,206695,1997,19/12/1997,290437.15,286689.07,35,Completed,,1222,22,75.48
USA,North,City_156,2205594,2013,24/01/2013,3323299.92,3332636.99,0,Cancelled,Ali Khan,3331,26,79.76
UK,Central,City_153,3225207,2002,19/01/2002,3335289.54,3364845.05,48,,Wei Zhang,8872,31,71.25
Germany,South,City_494,3459685,2003,07/03/2003,1262916.38,1310491.93,0,Cancelled,Ali Khan,7617,6,51.26
Canada,North,City_425,4126149,2007,17/03/2007,4459964.61,4488951.51,,Completed,Jane Smith,4297,18,82.67
USA,South,City_34,1683815,2002,27/03/2002,2386134.33,2384759.59,,Delayed,Jane Smith,7887,27,
Nigeria,West,City_323,376900,2014,12/08/2014,2737682.85,2751686.03,52,,,632,22,99.84
China,South,City_121,2071554,2008,23/07/2008,1156670.92,1173657.89,95,,Jane Smith,4008,46,87.75
India,Central,City_152,1788220,2003,20/12/2003,3370899.75,3382249.52,0,Cancelled,,5676,3,66.28
Germany,East,City_277,1087164,2021,25/10/2021,4189692.69,4207877.32,,,Ali Khan,6895,49,91.66
USA,East,City_315,3433613,2014,10/02/2014,605679.92,622881.5,38,In Progress,Wei Zhang,3097,50,54.37
Nigeria,Central,City_165,4528910,2020,19/02/2020,3166547.33,3207156.24,,,Ali Khan,9634,21,51.36
India,South,City_451,4269373,2007,19/09/2007,17573.56,56912.12,0,Completed,,5463,21,
South Africa,South,City_9,4264581,2015,06/07/2015,2016840.03,2059225.17,,Completed,,2640,37,67.7
Australia,Central,City_211,3685012,2021,10/12/2021,,259607.57,,In Progress,Ali Khan,8860,3,52.18
USA,East,City_143,2077206,2016,25/05/2016,384588.81,423385.37,0,,Ali Khan,5248,29,97.26
USA,North,City_94,4810260,1998,24/11/1998,2741745.02,2750995.22,0,Cancelled,Ali Khan,2206,17,
South Africa,West,City_81,4007334,2016,03/01/2016,1058400.11,1082069.37,39,,Ali Khan,9714,21,63.29
India,West,City_478,4673901,2019,15/05/2019,4187569.41,4191074.27,,,,4714,40,70.01
South Africa,East,City_181,,2022,20/05/2022,1314552.69,1339492.78,,In Progress,,235,41,72.25
Brazil,West,City_135,2900199,2007,23/01/2007,4436824.78,4434614.61,,,Jane Smith,3799,43,54.46
UK,East,City_132,3399627,2003,11/06/2003,925033.36,957002.84,0,Cancelled,Jane Smith,991,49,86.35
UK,East,City_375,4942501,2002,27/12/2002,1271866.07,1284817.32,0,Delayed,Wei Zhang,3169,33,78.72
Germany,South,City_184,4979948,1996,25/04/1996,4569725.19,4572846.26,,,,1108,15,95.49
Brazil,West,City_152,3743641,2002,07/11/2002,105204.86,105943.72,12,Delayed,John Doe,7378,17,78.76
India,North,City_448,1590055,2018,06/02/2018,2630280.83,2637350.65,0,Completed,,5047,38,99.53
Brazil,East,City_477,188311,2011,11/08/2011,317769.6,326075.02,,In Progress,,476,43,95.88
Australia,East,City_67,4049993,2012,09/06/2012,1351465.37,1362651.95,,,Ali Khan,6342,9,56.8
Canada,North,City_387,2075751,2005,11/07/2005,3542269.84,3581447.45,99,Completed,,1994,3,51.11
China,South,City_395,388134,2018,10/02/2018,881665,907454.74,0,,Jane Smith,2578,48,82.39
China,East,City_487,1208240,2020,13/09/2020,4750471.04,4783323.23,62,In Progress,Wei Zhang,8851,43,51.66
South Africa,Central,City_410,3066934,2004,04/05/2004,4075221.25,4088921.13,0,In Progress,,4302,11,63.02
USA,East,City_13,4699380,2005,18/09/2005,2145152.66,2183993.53,118,In Progress,Wei Zhang,830,26,93.4
Brazil,North,City_163,2843799,2022,21/08/2022,3970240.6,3997758.82,0,Completed,John Doe,2887,20,92.08
Nigeria,East,City_89,1862780,2002,25/08/2002,3402058.04,3407942.06,,Completed,Ali Khan,2314,36,60.03
Nigeria,South,City_409,4185719,2005,14/08/2005,521172.07,537326.52,,Delayed,Jane Smith,2507,19,59.43
USA,West,City_145,3613163,2004,28/01/2004,1073646.45,1074189.78,0,,,9091,27,63.87
Canada,South,City_167,1021970,2004,07/01/2004,1406107.25,1446763.08,0,In Progress,Ali Khan,9006,21,73.83
China,North,City_314,3390151,2014,20/10/2014,989229.54,1006112.32,,,,6665,39,94.77
Germany,South,City_402,3302547,2005,01/02/2005,1723221.69,1766924.53,147,Delayed,,6324,20,75.74
China,North,City_49,3650044,2012,12/04/2012,1859435.14,1903212.22,60,In Progress,,5355,49,50.53
UK,North,City_256,1057064,2006,13/02/2006,798545.18,809106.66,44,,,1382,41,
Canada,Central,City_158,838957,2005,27/10/2005,567167.87,582237,,Completed,Jane Smith,1775,14,86.51
Nigeria,South,City_300,2630486,2021,06/02/2021,1824374.62,1836179.97,40,Cancelled,Wei Zhang,7418,49,63.47
USA,West,City_120,4557177,2010,21/07/2010,3724053.61,3754019.24,,In Progress,Ali Khan,400,36,54.72
Nigeria,East,City_250,1162468,2012,21/10/2012,3373895.61,3396433.22,0,In Progress,Jane Smith,2859,30,80.33
Brazil,Central,City_361,1353022,1999,26/06/1999,209235.28,231537.54,,Delayed,Jane Smith,7755,4,
India,Central,City_485,71022,2014,26/05/2014,2212411.83,2238800.25,97,Cancelled,,5204,28,
USA,West,City_99,1982915,2022,03/02/2022,3502174.43,3516815.85,123,Delayed,Wei Zhang,256,29,
Germany,West,City_68,74458,2007,11/07/2007,2783115.54,2826946.52,,,,4553,14,60.62
China,West,City_362,2572347,2011,02/06/2011,623891.46,659937.02,,,Jane Smith,9203,43,78.03
UK,East,City_381,3294460,2012,07/10/2012,1858470.4,1885446.52,0,,John Doe,5193,44,91.01
Canada,South,City_404,1687639,2015,11/04/2015,4901392.88,4919397.4,0,Cancelled,,937,41,68.63
South Africa,East,City_492,2887944,2019,10/05/2019,2571458.72,2598082.17,,,Wei Zhang,7865,43,84.99
India,Central,City_132,316670,2005,15/11/2005,2417522.22,2446671.72,0,Cancelled,Wei Zhang,3954,15,62.94
USA,South,City_467,1151952,2010,17/05/2010,826867.8,872387.79,,In Progress,Wei Zhang,3593,18,62.9
USA,South,City_220,382801,2007,05/07/2007,1696278.74,1711870.68,0,Delayed,Jane Smith,9248,13,92.37
Brazil,South,City_28,3090181,2021,01/12/2021,615273.61,625346.37,38,In Progress,,688,32,88.49
UK,West,City_183,2158344,2013,03/05/2013,3658295.22,3679973.21,45,,Jane Smith,2492,32,87.88
UK,East,City_359,4123676,2005,13/04/2005,36385.02,71671.59,0,,John Doe,2927,14,62.74
Canada,West,City_483,978974,1997,07/03/1997,171971.2,197328.65,71,,Wei Zhang,771,27,76.9
Canada,East,City_271,1478410,2022,15/10/2022,630617.09,642059.97,7,Completed,Ali Khan,446,21,73.59
UK,East,City_342,1761328,2010,14/11/2010,3503386.45,3526881.21,,Completed,,6805,8,84.41
UK,West,City_154,4495802,2003,26/11/2003,1777900.08,1823189.69,163,Delayed,Ali Khan,5214,26,67.06
Australia,North,City_282,2563214,2004,12/06/2004,1252430.07,1248862.38,58,,,745,38,97.72
Australia,West,City_354,2652160,2015,26/03/2015,375333.67,382057.68,175,Completed,Jane Smith,1225,29,56.28
Australia,North,City_435,2946718,2010,20/01/2010,2944425.86,2970497.03,0,Completed,John Doe,9122,20,83.54
UK,East,City_367,4408516,1999,16/12/1999,4743342.97,4767568.37,2,,John Doe,6757,48,97.86
Canada,East,City_375,174498,2006,23/08/2006,710215.08,740862.67,110,In Progress,,7181,7,60.68
Nigeria,South,City_279,,2012,18/04/2012,3204465.68,3208675.57,,Completed,,8356,27,74.5
Canada,Central,City_24,1720032,2010,13/10/2010,3525136.39,3571462.23,171,Completed,Ali Khan,2508,22,61.2
Nigeria,West,City_105,3223898,2000,06/04/2000,1684022.11,1684589.65,0,,,171,42,81.51
Germany,East,City_393,2941751,2002,26/12/2002,729902.68,744435.89,,Cancelled,Wei Zhang,5425,28,99.45
Canada,Central,City_43,1474696,2016,27/11/2016,3961272.93,3973698.92,85,,John Doe,2839,50,61.21
UK,South,City_3,733622,2011,13/05/2011,4237312.82,4272625.79,149,Completed,Jane Smith,3942,2,77.99
South Africa,South,City_93,589727,1998,21/12/1998,2708323.95,2719190.61,,Completed,,773,45,64.33
South Africa,Central,City_8,2976383,1998,17/09/1998,3376548.03,3401294.71,,Delayed,Jane Smith,2632,5,98.39
Nigeria,North,City_483,3584251,2019,10/12/2019,2988004.98,2997697.77,169,Completed,Jane Smith,7509,9,77.12
Brazil,West,City_8,3961204,2002,09/01/2002,1083995.78,1086379.4,5,,,7872,35,94.39
Germany,East,City_86,4652065,2020,18/02/2020,3595134.98,3603897.47,,In Progress,John Doe,2017,15,59.8
Canada,North,City_82,2594544,2002,01/08/2002,1474321.77,1492770.27,,Cancelled,John Doe,933,19,51.27
Nigeria,West,City_383,1542549,1997,04/04/1997,2928054.16,2936041.06,,,,7921,11,61
USA,East,City_379,2192244,2001,19/06/2001,150523.99,193252.18,131,Completed,Wei Zhang,9766,10,54.45
Nigeria,West,City_178,3281705,1999,18/06/1999,4077806.46,4099613.33,60,Cancelled,Jane Smith,9116,19,56.26
Nigeria,Central,City_341,1985079,2003,20/11/2003,1659086.04,1660057.85,0,Unknown,,9393,24,81.16
Brazil,North,City_296,3489970,2006,15/02/2006,3381670.74,3378175.22,64,Delayed,Jane Smith,9388,33,88.78
Germany,Central,City_316,970682,2011,17/02/2011,688338.96,720319.21,17,Delayed,Ali Khan,9522,32,57.08
China,South,City_82,4611255,2015,10/12/2015,1061869.4,1077339.47,120,,,1760,10,59.14
USA,South,City_334,2382832,2006,06/03/2006,278675.13,301320.68,,Delayed,,5711,46,71.41
Brazil,North,City_410,1411386,2015,21/11/2015,,4983236.65,0,Cancelled,Wei Zhang,4296,50,62.89
South Africa,West,City_448,4642073,2003,19/03/2003,1800688.86,1804597.92,0,Cancelled,Jane Smith,8098,48,92.96
Nigeria,East,City_233,1214502,2022,13/09/2022,1736878.88,1733927.36,0,Delayed,Wei Zhang,362,21,
Australia,West,City_8,1103804,2016,04/03/2016,3550354.68,3551886.49,151,,Wei Zhang,6421,30,71.87
USA,South,City_98,3315527,2022,15/04/2022,664519.37,700517.93,,Cancelled,,2193,46,80.79
Germany,West,City_66,4570719,2013,24/06/2013,2847003.94,2893965.77,0,Completed,Wei Zhang,9211,40,54.21
UK,East,City_88,4472326,2013,26/09/2013,3085117.05,3110956.33,0,Cancelled,,5251,37,67.2
Germany,North,City_362,4073453,2007,05/02/2007,2809260.8,2826932.47,50,Delayed,,7356,10,84.26
Canada,East,City_61,1207831,2009,18/09/2009,3262379.69,3298377.07,,Cancelled,Jane Smith,7091,21,77.13
USA,North,City_219,2325984,2000,21/12/2000,788010.32,835226.7,51,Delayed,Ali Khan,8909,32,67.76
Nigeria,South,City_413,1528749,2012,12/07/2012,2163476.41,2162476.77,0,,Wei Zhang,2990,6,81.51
Nigeria,Central,City_57,4861660,2014,24/03/2014,239740.34,244976.98,,Delayed,Jane Smith,7694,27,55.74
India,Central,City_366,4577573,2012,22/05/2012,4360952.25,4382568.86,,Cancelled,Wei Zhang,5390,16,55.76
Brazil,East,City_64,1767107,2021,05/02/2021,965065.75,987025.25,1,,,6513,41,80.24
Germany,East,City_271,150585,2017,03/07/2017,261639.04,262515.26,0,Completed,,5758,3,86.11
Nigeria,North,City_340,4544544,1997,27/11/1997,1360398.03,1367372.75,0,Completed,Jane Smith,1365,46,
Canada,West,City_441,2701920,1998,11/09/1998,3989219.84,4006097.3,93,,Ali Khan,5834,3,60.42
UK,North,City_373,4991105,1999,27/01/1999,965718.16,964983.64,0,Delayed,John Doe,1009,23,56.96
Brazil,West,City_8,2109423,2002,17/10/2002,2974546.55,2972456.61,,Completed,Ali Khan,3920,46,81.9
Nigeria,East,City_114,1164302,1997,25/09/1997,2129149.63,2141898.14,0,Cancelled,Wei Zhang,9604,5,90.93
Germany,South,City_388,1837198,2017,02/03/2017,1968599.44,1972869.28,0,,Jane Smith,6118,50,95.1
China,West,City_80,3901056,2020,15/03/2020,3633712.35,3655340.67,,,John Doe,9358,7,51.95
India,East,City_204,1883790,2007,15/08/2007,1117857.78,1150277.1,0,Cancelled,,3317,28,78.58
China,West,City_300,64268,2006,07/12/2006,2665797.81,2682344.96,,Cancelled,Ali Khan,704,32,
India,East,City_16,3451500,2011,16/12/2011,3396705.45,3393319.28,,Delayed,John Doe,9443,44,90.57
UK,West,City_412,65926,1996,19/08/1996,1372783,1383327.39,65,Completed,Ali Khan,4918,20,92.76
South Africa,West,City_12,3646412,2013,25/10/2013,4235129.1,4278761.5,,,Wei Zhang,3906,42,75.27
USA,North,City_9,2951143,2004,11/02/2004,1818940.94,1831826.92,102,Completed,Wei Zhang,4507,10,70.89
UK,Central,City_176,1462950,1997,23/07/1997,2436540.77,2458340.08,0,,,8329,9,90.46
South Africa,North,City_71,3339180,2005,02/07/2005,2541808.11,2585095.16,,,,2248,9,60.13
Australia,South,City_268,,2018,01/12/2018,2049989.67,2073660.32,87,Completed,,7258,28,94.68
India,East,City_259,4004590,1999,22/08/1999,3603100.11,3599114.08,,In Progress,,9810,8,
Germany,North,City_252,2560031,2018,04/03/2018,3251491.97,3272295.42,0,Cancelled,,2292,5,82.54
Australia,North,City_307,4443507,1999,18/12/1999,2936341.63,2967490.67,57,Delayed,,4949,19,56.09
Germany,East,City_113,2356539,2021,14/09/2021,881491.84,897682.91,,Delayed,Jane Smith,2687,13,81.71
Canada,North,City_406,980257,2008,16/11/2008,876378.56,877514.09,,,,8803,43,50.05
USA,North,City_111,669932,2010,05/05/2010,1394922.82,1443310.62,158,,Jane Smith,3141,11,50.24
Australia,Central,City_310,4821826,2004,07/12/2004,1851399.33,1878484.29,,Cancelled,John Doe,3610,21,79.72
Australia,Central,City_441,1896958,1996,18/03/1996,20941.14,28785.22,115,,Ali Khan,8212,47,86.95
Australia,Central,City_461,161364,2013,28/03/2013,2961751.66,2959781.97,93,Cancelled,John Doe,6190,19,81.25
India,West,City_135,2075368,2022,12/11/2022,172179.87,218206.27,,,,7317,29,56.93
South Africa,South,City_429,1930346,2009,13/04/2009,171746.82,211904.26,,Completed,Wei Zhang,5689,46,61.23
South Africa,South,City_125,3149002,2014,14/01/2014,2080426.79,2082939.89,,Completed,Wei Zhang,8806,37,
Brazil,South,City_375,4302428,2007,22/06/2007,4045093.27,4061102.05,119,Delayed,John Doe,216,34,80.46
USA,South,City_447,2136178,2017,14/04/2017,1360946.67,1376706.48,11,,Jane Smith,8050,3,71.45
Australia,North,City_89,2584198,2021,05/01/2021,595107.43,628706.2,,Cancelled,Ali Khan,114,47,50.89
Nigeria,East,City_9,4294296,2012,16/07/2012,4678918.76,4725201.45,0,Completed,,8609,48,98.28
India,Central,City_422,892105,1999,22/03/1999,4120118.01,4122447.8,132,,John Doe,3009,45,92.8
USA,West,City_137,2470630,2001,10/10/2001,2234092.06,2238974.8,0,Cancelled,Jane Smith,6022,43,66.69
Nigeria,Central,City_461,4417534,2000,06/03/2000,553104.2,556177.83,,Cancelled,Wei Zhang,7318,17,
South Africa,Central,City_123,2414243,2010,25/09/2010,3203992.15,3203118.31,0,Cancelled,Jane Smith,8555,47,51.23
China,East,City_319,3201782,2014,23/01/2014,2973386.07,2978312.11,,Cancelled,,8411,20,66.97
Germany,North,City_252,2773343,1998,01/04/1998,319468.14,338929.77,,Cancelled,Jane Smith,9181,13,74.71
USA,South,City_83,3268709,2000,05/09/2000,2119358.89,2167314.32,111,Delayed,Wei Zhang,6686,49,51.24
Canada,West,City_74,1198984,1996,18/08/1996,460514.03,483036.06,,Completed,Ali Khan,8070,30,78.56
South Africa,West,City_235,839907,2017,01/06/2017,984651.11,1012622.32,0,In Progress,,9444,1,59.95
Australia,Central,City_452,376992,1996,15/07/1996,3779239.63,3791374.82,0,,Ali Khan,7137,19,73.54
Germany,Central,City_339,534400,2014,11/02/2014,3344256.66,3381571.45,166,,Ali Khan,8478,20,81.47
South Africa,West,City_98,2650492,2021,15/06/2021,4543387.04,4557171.26,,,Wei Zhang,1667,20,54.45
UK,Central,City_330,4236254,2019,14/11/2019,2626733.22,2642719.04,0,,Ali Khan,2257,43,74.37
South Africa,Central,City_231,4002193,2015,14/11/2015,4343184.05,4352594.23,,In Progress,John Doe,6978,41,84.38
Nigeria,North,City_282,2219217,2006,21/04/2006,3273745.1,3302425.61,,Delayed,Wei Zhang,4238,38,
South Africa,East,City_422,1205375,2018,13/03/2018,2243383.04,2262999.37,,Delayed,Jane Smith,7887,45,
South Africa,South,City_301,2492180,2018,23/07/2018,3330910.64,3374818.96,0,Delayed,Wei Zhang,9824,41,96.96
UK,Central,City_202,2996872,2000,17/05/2000,2566984.63,2601964.76,26,,,8275,45,82.69
UK,South,City_471,4798777,2022,10/04/2022,2325945.81,2330547.47,0,Cancelled,Ali Khan,9974,44,53.19
Brazil,East,City_19,1490393,2008,06/10/2008,4504520.2,4546444.67,,Completed,Wei Zhang,3449,35,59.47
Germany,East,City_89,1763873,2021,14/10/2021,474684.34,503028.69,21,,John Doe,555,47,79.26
UK,Central,City_116,238489,2021,16/02/2021,1452991.74,1485634.42,146,Cancelled,,6427,15,74.87
Brazil,West,City_39,2479035,2020,23/07/2020,399896.53,446587.5,,,John Doe,7272,31,65.64
China,North,City_164,835469,2007,13/01/2007,4076728,4102526.22,,In Progress,,5471,36,
Australia,West,City_385,553543,2021,24/02/2021,1477326.22,1520030.73,28,,John Doe,6217,23,
Canada,Central,City_104,1813197,2011,05/04/2011,3870661.43,3879737.11,0,,Ali Khan,1163,50,67.52
South Africa,South,City_231,648082,2017,15/01/2017,1559798.37,1563983.64,,,,217,23,67.35
Germany,South,City_83,828802,1996,07/04/1996,325367.63,368831.36,,,Ali Khan,7591,48,93.97
Brazil,East,City_150,277048,2011,27/11/2011,,4599095.8,75,Completed,,130,29,
Canada,Central,City_347,3841580,2010,16/04/2010,2279061.51,2297123.43,0,Delayed,,9527,26,92.07
Germany,North,City_51,2083164,2016,12/08/2016,828067.33,864205.83,0,,Jane Smith,2160,11,91.9
Nigeria,West,City_249,1623641,2021,11/05/2021,827096.14,872984.41,129,,,197,45,76.72
Nigeria,East,City_138,2107440,2000,24/03/2000,4117010,4144036.85,,In Progress,,8177,41,93.39
UK,North,City_191,,2001,20/02/2001,3767255.01,3786610.61,,Delayed,,642,32,85.53
Germany,East,City_269,4186731,2010,27/11/2010,4059269.17,4058844.1,,,John Doe,2818,26,97.7
Canada,Central,City_230,2160107,1999,21/02/1999,3691730.57,3687683.45,,,John Doe,4968,41,80.34
Nigeria,East,City_328,156707,2008,28/02/2008,2775712.8,2806654.31,151,Cancelled,Ali Khan,9116,3,84.33
USA,West,City_284,200313,2019,02/05/2019,3788974.75,3805280.22,82,,John Doe,7929,14,98.67
Nigeria,West,City_326,4585371,2004,27/01/2004,3708232.42,3718734.53,14,Cancelled,,3259,47,88.57
India,South,City_456,481235,2008,27/07/2008,4967844.21,5012839.05,,Completed,,2503,24,71.5
UK,Central,City_252,4785190,1998,21/09/1998,2571592.77,2592131.02,0,,,644,12,51.95
Australia,West,City_300,3630828,2022,12/05/2022,1066241.45,1103495.84,,In Progress,Ali Khan,315,15,83.43
Canada,East,City_485,3443788,2012,03/02/2012,3003487.39,3038542.67,164,In Progress,,2803,30,
Canada,West,City_421,3987934,2022,09/09/2022,2112541.06,2120854.64,,Cancelled,Ali Khan,5171,50,86.42
Germany,South,City_89,423339,2011,27/10/2011,2875157.23,2873653.7,,Cancelled,Jane Smith,618,20,82.37
Nigeria,West,City_145,2321783,2002,25/07/2002,2187920.34,2218611.52,0,Delayed,Wei Zhang,842,31,76.46
UK,South,City_287,2637165,2021,16/08/2021,3966471.51,4005445.44,,Delayed,Ali Khan,2220,21,
Brazil,East,City_384,3237119,1996,28/12/1996,2603782.7,2606644.48,24,Completed,Ali Khan,676,8,67.58
China,West,City_494,3082720,1997,16/08/1997,3397996.27,3398804.28,89,Unknown,John Doe,1108,33,79.65
Nigeria,West,City_238,1853802,2022,05/04/2022,3724498.6,3720057,162,Cancelled,John Doe,9638,16,76.1
Germany,West,City_289,156189,2006,06/11/2006,246275.4,258017.81,,Cancelled,,550,33,
Brazil,South,City_366,4293151,2014,01/12/2014,323094.85,353662.94,24,Delayed,John Doe,6985,12,
Australia,East,City_259,4547428,2005,19/03/2005,4556453.04,4577570.42,56,In Progress,,9025,48,88.16
Australia,South,City_484,2673620,2019,21/10/2019,3007979.53,3045704.96,33,,John Doe,4170,10,88.63
Germany,North,City_313,932112,2017,15/04/2017,1023418.56,1054174.1,0,Cancelled,,3405,33,97.39
South Africa,North,City_417,1898448,2022,03/02/2022,4188984.99,4189614.26,79,Cancelled,,3764,9,75.9
UK,West,City_35,3517603,2018,21/04/2018,1928482.86,1963627.19,44,Completed,Jane Smith,735,50,79.52
UK,East,City_199,436370,2004,06/06/2004,2936263.02,2951686.8,0,,John Doe,8551,3,58.47
Australia,South,City_124,225872,2017,01/05/2017,3671784,3668854.66,,In Progress,Ali Khan,335,15,90.98
Germany,Central,City_468,4045923,2020,23/05/2020,3368565.81,3401009.39,,Delayed,Ali Khan,8437,28,84.06
South Africa,Central,City_128,3690755,2019,03/07/2019,1637642.9,1672815.84,,,,6339,49,68.78
Australia,Central,City_131,849852,2001,08/10/2001,4871092.34,4893321.93,147,Cancelled,John Doe,3477,26,54.23
South Africa,North,City_194,1477163,2001,01/02/2001,673427.41,684706.36,30,In Progress,Jane Smith,6596,25,88.64
Canada,North,City_201,267806,2005,05/05/2005,2491222.45,2519318.56,,Completed,Wei Zhang,8128,29,65.06
Brazil,Central,City_280,1131420,2000,27/05/2000,2632521.25,2658926.14,,In Progress,,4969,37,86.31
India,East,City_252,4123667,2009,24/06/2009,717654.69,757314.74,0,Completed,,8212,2,62.39
UK,North,City_426,328484,2000,16/01/2000,4396616.8,4418143.97,,Delayed,Jane Smith,9176,16,88.58
India,North,City_170,2009322,2004,06/11/2004,2546040.71,2577594.55,,Cancelled,Ali Khan,445,43,
Canada,West,City_440,4402550,1996,24/05/1996,4730800.64,4730898.07,141,In Progress,John Doe,7476,18,54.69
Canada,South,City_65,4071357,1997,04/08/1997,1460691.61,1510534.44,,In Progress,Ali Khan,1179,13,76.18
Canada,North,City_324,3117594,2020,14/07/2020,18450.56,36344.44,0,In Progress,Wei Zhang,1967,2,63.18
South Africa,North,City_374,354523,2009,15/06/2009,4832820.62,4881338.93,0,Completed,,9036,13,71.07
South Africa,West,City_48,2311940,2008,14/06/2008,1431988.55,1472109.72,175,,,645,41,68.49
USA,North,City_8,3726067,2002,04/10/2002,920085.97,919196.36,,In Progress,Wei Zhang,8574,20,57.6
China,West,City_198,1681704,2015,08/05/2015,2459803.02,2486686.15,0,In Progress,Ali Khan,3811,30,79.48
USA,North,City_459,211024,1998,25/06/1998,1817004.99,1844544.52,0,In Progress,Wei Zhang,7891,3,82.4
China,West,City_438,189222,2010,12/11/2010,4729375.04,4744764.88,47,In Progress,Jane Smith,9414,34,96.89
Australia,West,City_476,1795142,2006,05/07/2006,3566898.93,3613019.61,,In Progress,,4793,39,58.84
South Africa,South,City_96,2431146,2003,27/05/2003,4926846.96,4936247.83,0,Completed,Ali Khan,304,31,78.5
Nigeria,Central,City_417,3430702,2019,19/05/2019,4632036.66,4677628.49,71,,John Doe,3700,19,82.19
Australia,West,City_31,3451155,2001,02/10/2001,123061.47,172905.44,176,Cancelled,Wei Zhang,9036,29,96.39
UK,Central,City_134,4981479,2000,04/06/2000,566904.27,570785.26,,,Jane Smith,8192,46,
UK,East,City_135,1854217,2015,28/08/2015,3341522.01,3361762.26,0,,Ali Khan,3335,9,68.92
India,West,City_147,,2017,14/09/2017,3875736.14,3898834.73,,,Wei Zhang,5393,28,59.69
India,Central,City_348,4815685,2012,22/04/2012,2216839.52,2216998.2,,Completed,Jane Smith,8706,46,63.24
Nigeria,South,City_3,759424,1999,27/05/1999,3357459.07,3383498.73,58,,Wei Zhang,7509,5,82.18
Brazil,Central,City_216,893822,2020,27/11/2020,3906887.92,3917378.56,,,,2548,9,56.27
Canada,West,City_139,3752713,2008,26/03/2008,686885.74,721543.13,,Cancelled,,2455,22,80.62
Brazil,West,City_64,2660106,2014,25/07/2014,1644570.21,1642246.82,6,In Progress,Ali Khan,8329,8,86.24
Nigeria,Central,City_309,1207198,2008,07/12/2008,1190004.85,1216283.16,177,,Ali Khan,5698,45,93.92
Canada,Central,City_26,1084447,2005,13/10/2005,521942.24,538156.35,0,Cancelled,,3549,35,50.52
South Africa,Central,City_375,2577291,2009,28/02/2009,134420.9,183771.21,0,In Progress,,2935,17,86.67
Australia,East,City_448,1736996,2017,18/01/2017,982962.03,1028089.83,,Delayed,,2787,37,96.76
China,South,City_152,4401882,2000,17/12/2000,3031415.86,3057111.53,,,,7991,37,58.18
USA,South,City_192,3327969,2022,27/06/2022,4024696.3,4052077.59,0,Cancelled,,5506,15,69.93
Brazil,North,City_372,4498683,1996,17/03/1996,2851385.64,2872576.07,142,,Ali Khan,5686,21,84.32
China,Central,City_14,3632739,2020,22/08/2020,918446.94,916452.78,,,Ali Khan,7721,3,67.94
USA,East,City_61,3031069,2013,20/10/2013,360009.49,357045.02,158,Completed,,3485,24,79.82
USA,North,City_156,3238253,2014,27/01/2014,3400732,3398447.65,102,,,1804,15,76.18
Brazil,Central,City_331,1223864,2017,23/01/2017,4218374.56,4242338.46,,,Jane Smith,7862,44,60.64
Nigeria,South,City_248,971305,2020,26/07/2020,4229259.23,4277756.48,,Cancelled,Jane Smith,1407,18,59.93
Canada,North,City_261,3907426,2012,09/12/2012,86992.9,122390.19,46,,John Doe,3430,30,90.79
Nigeria,North,City_331,772885,2019,04/09/2019,1388831.83,1393219.26,,In Progress,,659,30,52.4
Australia,South,City_378,3379849,2015,06/06/2015,,3827885.22,71,Cancelled,John Doe,8604,41,85.63
Brazil,Central,City_420,974568,2007,20/04/2007,1780294.02,1820140.78,0,Delayed,Jane Smith,8976,11,60.29
China,East,City_357,492189,2004,04/04/2004,509311.35,538594.03,153,,Ali Khan,6527,44,78.14
USA,East,City_497,922297,1998,13/10/1998,2626566.15,2666087.58,140,,John Doe,8144,4,63.9
Australia,South,City_353,3923542,2000,10/02/2000,3229115.51,3265645.22,96,,Ali Khan,5118,23,
Brazil,Central,City_265,2514381,1996,06/09/1996,4944315.45,4981338.45,7,Completed,Ali Khan,3239,41,89.98
Canada,West,City_43,2273209,2007,10/07/2007,738245.42,763934.94,112,In Progress,Wei Zhang,368,18,65.84
